x1,x2,y
2.497,1.862,0
2.648,3.523,0
1.766,1.766,0
3.579,2.767,0
1.531,2.543,0
1.537,1.534,0
2.242,0.087,0
0.275,1.438,0
0.987,2.314,0
1.092,0.588,0
3.466,1.774,0
2.068,0.575,0
1.456,2.111,0
0.849,2.376,0
1.399,1.708,0
1.398,3.852,0
1.987,0.942,0
2.823,0.779,0
2.209,0.04,0
0.672,2.197,0
2.738,2.171,0
1.884,1.699,0
0.521,1.28,0
1.539,3.057,0
2.344,0.237,0
2.324,1.615,0
1.323,2.612,0
3.031,2.931,0
1.161,1.691,0
2.331,2.976,0
5.521,5.814,1
4.894,4.804,1
6.813,7.356,1
5.928,7.004,1
6.362,5.355,1
6.361,7.538,1
5.964,7.565,1
3.38,6.822,1
6.087,5.701,1
6.092,4.012,1
5.78,6.357,1
7.478,5.482,1
5.192,5.498,1
6.915,6.329,1
5.47,6.513,1
6.097,6.969,1
5.298,5.672,1
5.608,4.536,1
6.296,6.261,1
6.005,5.765,1
4.585,5.579,1
5.657,5.198,1
5.839,6.404,1
7.886,6.175,1
6.258,5.926,1
4.081,5.973,1
6.06,8.463,1
5.808,6.302,1
5.965,4.831,1
7.143,6.752,1
