x1,x2,y
1.231,2.809,0
0.79,2.506,0
2.889,5.129,0
1.065,3.476,0
3.015,3.206,1
4.279,3.142,1
5.39,4.224,1
2.334,2.604,0
2.457,0.915,0
1.947,1.409,0
4.352,4.816,1
8.623,6.56,1
4.257,2.284,1
4.685,1.657,1
2.984,2.771,1
2.139,3.871,0
1.172,2.114,0
3.464,2.503,1
2.628,2.822,1
3.618,0.639,0
3.769,4.183,0
3.732,4.93,1
2.229,2.855,0
2.361,1.098,0
2.912,0.818,0
3.434,4.756,1
4.016,5.101,1
4.986,3.862,1
4.618,2.515,1
0.43,3.116,0
2.065,4.975,1
4.495,3.049,1
3.143,3.124,1
2.414,4.069,0
2.505,3.472,1
1.726,2.812,0
1.944,1.898,0
4.618,4.795,1
4.579,4.533,1
4.259,0.744,0
4.723,4.763,0
2.219,2.236,0
4.416,4.077,1
2.484,2.709,0
2.182,3.697,1
4.751,3.419,1
2.715,3.151,1
2.898,3.068,0
3.096,3.486,0
3.671,1.397,0
3.386,2.862,0
3.706,5.039,1
3.737,1.896,0
0.805,2.029,0
4.429,4.555,1
2.939,2.277,1
3.907,3.216,1
4.346,1.016,0
3.277,2.141,0
6.778,3.169,1
3.704,0.571,0
2.633,0.802,0
3.151,1.53,0
6.239,4.26,1
5.744,6.547,1
3.234,2.62,0
1.925,4.36,0
2.875,4.136,1
1.778,2.985,0
1.759,5.08,1
4.328,2.61,0
0.726,3.402,0
4.673,4.239,1
5.156,5.023,1
3.475,1.023,0
3.421,4.273,0
0.148,2.572,0
4.098,4.428,1
1.779,1.537,0
4.617,5.903,1
4.127,2.773,0
1.119,1.995,0
0.384,3.204,0
3.021,3.43,1
4.782,4.337,1
2.736,2.269,0
3.073,3.408,1
1.636,3.449,0
4.395,2.929,0
5.363,3.818,1
3.682,5.239,1
4.378,3.126,0
5.3,3.28,1
5.265,4.084,1
2.877,1.658,0
-0.644,2.856,0
6.276,4.606,1
4.945,1.57,1
3.487,2.411,0
2.219,0.115,0
4.07,4.012,1
0.204,1.864,0
2.971,5.52,1
2.129,1.225,0
2.706,2.458,0
4.462,5.73,1
0.906,5.456,0
1.493,2.582,0
4.208,4.157,1
4.911,3.75,1
1.688,1.82,0
2.347,3.538,1
4.788,6.573,1
4.184,5.396,1
1.847,2.218,0
3.418,5.02,1
3.622,3.253,1
2.934,2.722,0
5.028,5.959,1
1.825,2.616,0
4.857,2.888,1
4.569,4.055,1
2.038,1.311,0
3.096,2.56,1
3.184,2.707,1
2.951,2.089,0
2.934,3.438,0
1.937,1.878,0
4.301,5.307,1
4.332,4.486,1
1.41,2.107,0
2.83,4.761,1
4.568,3.929,1
2.57,3.218,1
2.277,1.56,0
3.716,3.293,1
1.285,3.662,0
2.15,2.306,0
7.264,2.177,1
4.824,4.369,1
2.581,2.813,0
2.79,2.895,0
3.913,0.11,1
1.941,3.598,0
2.751,2.468,0
2.933,3.599,1
1.035,0.197,0
4.409,6.119,1
4.993,2.487,1
5.145,4.706,1
