x1,x2,y
2.882,1.552,1.0
2.2,2.193,1.0
2.489,1.745,1.0
3.12,1.41,1.0
2.934,1.986,1.0
1.511,2.214,1.0
2.475,2.033,1.0
1.924,2.151,1.0
1.948,1.683,1.0
2.205,1.819,1.0
2.072,1.664,1.0
2.727,1.82,1.0
2.381,1.593,1.0
2.061,1.137,1.0
2.222,2.089,1.0
2.167,1.799,1.0
2.747,1.185,1.0
1.897,2.231,1.0
2.157,1.546,1.0
1.573,2.026,1.0
0.724,2.365,1.0
2.327,2.064,1.0
2.432,2.57,1.0
1.629,1.383,1.0
3.135,2.201,1.0
1.273,1.658,1.0
2.023,1.565,1.0
1.906,1.711,1.0
2.766,1.844,1.0
2.735,2.028,1.0
2.077,1.417,1.0
2.189,2.45,1.0
1.556,2.233,1.0
1.01,1.232,1.0
1.826,2.744,1.0
2.078,2.948,1.0
2.615,2.589,1.0
2.601,1.91,1.0
1.806,1.465,1.0
1.849,2.527,1.0
1.476,1.798,1.0
1.29,2.611,1.0
1.147,2.104,1.0
2.975,2.488,1.0
1.745,2.178,1.0
1.781,2.353,1.0
1.374,2.005,1.0
2.389,2.893,1.0
1.193,2.063,1.0
1.894,2.201,1.0
0.942,-0.034,-1.0
-0.674,0.857,-1.0
-0.635,-0.372,-1.0
0.485,-0.413,-1.0
-0.587,-0.049,-1.0
0.972,-0.332,-1.0
-0.207,0.563,-1.0
-0.374,-0.54,-1.0
0.961,-0.574,-1.0
0.74,-0.219,-1.0
0.934,-0.249,-1.0
0.453,0.965,-1.0
-0.431,0.475,-1.0
0.955,0.044,-1.0
-0.134,-0.613,-1.0
0.401,0.422,-1.0
0.474,-0.5,-1.0
-0.078,-0.772,-1.0
0.307,0.594,-1.0
0.461,0.158,-1.0
0.188,0.46,-1.0
-0.55,0.159,-1.0
0.149,0.428,-1.0
0.663,-0.326,-1.0
-0.347,-0.517,-1.0
-0.075,0.341,-1.0
-0.218,-0.402,-1.0
0.925,-0.345,-1.0
0.336,-0.228,-1.0
0.204,0.009,-1.0
-0.385,-0.177,-1.0
0.27,-0.687,-1.0
-0.337,-0.322,-1.0
0.016,-1.112,-1.0
-0.318,0.313,-1.0
0.338,-0.801,-1.0
0.288,-0.552,-1.0
-0.104,0.026,-1.0
0.198,-0.37,-1.0
-0.547,0.772,-1.0
-0.746,-0.646,-1.0
0.22,0.134,-1.0
0.083,-0.02,-1.0
0.318,-0.584,-1.0
1.192,0.262,-1.0
0.472,-0.086,-1.0
-0.456,0.386,-1.0
0.559,0.412,-1.0
-0.658,1.082,-1.0
-0.231,0.668,-1.0
