x1,x2,y
2.699,2.829,1.0
2.445,2.535,1.0
2.759,2.38,1.0
3.109,2.537,1.0
2.406,1.705,1.0
2.406,2.412,1.0
3.132,2.643,1.0
2.807,3.091,1.0
2.312,2.293,1.0
2.717,2.177,1.0
2.315,2.299,1.0
2.314,2.866,1.0
2.597,2.632,1.0
1.735,2.288,1.0
1.81,2.705,1.0
2.275,2.539,1.0
2.095,2.887,1.0
2.626,2.219,1.0
2.137,2.369,1.0
1.935,2.343,1.0
3.086,1.915,1.0
2.41,2.618,1.0
2.527,2.604,1.0
1.93,2.502,1.0
2.282,2.406,1.0
2.544,1.934,1.0
2.04,2.332,1.0
2.65,2.363,1.0
2.26,2.179,1.0
2.383,2.435,1.0
2.259,2.662,1.0
3.241,3.254,1.0
2.495,2.57,1.0
2.077,2.603,1.0
2.829,2.47,1.0
2.012,1.732,1.0
2.584,2.489,1.0
1.716,2.524,1.0
1.969,3.485,1.0
2.579,2.423,1.0
2.795,2.621,1.0
2.569,2.486,1.0
2.454,2.033,1.0
2.38,2.957,1.0
1.909,2.801,1.0
2.212,2.816,1.0
2.316,2.136,1.0
2.923,3.061,1.0
2.637,1.939,1.0
1.795,2.735,1.0
2.63,3.376,1.0
2.346,2.104,1.0
2.229,2.273,1.0
2.745,2.54,1.0
2.912,2.299,1.0
2.873,1.88,1.0
2.164,2.527,1.0
2.376,2.075,1.0
2.633,2.689,1.0
2.89,2.132,1.0
2.308,3.12,1.0
2.426,2.187,1.0
2.057,2.371,1.0
2.022,2.825,1.0
2.825,2.008,1.0
3.042,2.591,1.0
2.471,3.023,1.0
2.901,1.857,1.0
2.645,2.574,1.0
2.242,2.604,1.0
2.645,2.813,1.0
3.115,2.005,1.0
2.486,1.972,1.0
3.126,2.709,1.0
1.452,2.619,1.0
0.6,0.882,-1.0
0.639,0.761,-1.0
0.228,0.374,-1.0
0.593,0.804,-1.0
0.617,0.191,-1.0
0.214,0.405,-1.0
1.246,0.306,-1.0
0.69,0.533,-1.0
0.023,1.426,-1.0
0.763,-0.247,-1.0
0.11,0.775,-1.0
0.815,-0.145,-1.0
0.963,0.311,-1.0
0.172,0.936,-1.0
0.885,0.526,-1.0
0.665,0.069,-1.0
0.829,0.214,-1.0
1.259,0.772,-1.0
0.402,0.208,-1.0
0.199,0.587,-1.0
0.144,0.518,-1.0
0.174,0.239,-1.0
0.469,1.358,-1.0
0.636,0.754,-1.0
0.611,-0.31,-1.0
0.831,0.575,-1.0
0.505,0.235,-1.0
1.081,0.841,-1.0
0.394,0.183,-1.0
1.588,0.454,-1.0
0.75,0.702,-1.0
0.157,0.846,-1.0
0.072,0.02,-1.0
0.693,0.366,-1.0
0.411,0.31,-1.0
0.786,0.239,-1.0
0.689,1.206,-1.0
0.471,0.662,-1.0
0.161,-0.004,-1.0
-0.106,0.867,-1.0
0.321,1.349,-1.0
0.843,0.913,-1.0
0.586,-0.108,-1.0
0.002,0.306,-1.0
0.569,1.007,-1.0
0.654,0.217,-1.0
0.146,0.678,-1.0
0.561,0.81,-1.0
0.523,0.129,-1.0
0.043,0.476,-1.0
0.643,-0.797,-1.0
0.724,0.09,-1.0
0.933,0.399,-1.0
0.922,0.001,-1.0
-0.051,1.153,-1.0
0.125,-0.072,-1.0
0.706,0.324,-1.0
0.706,0.552,-1.0
0.706,1.077,-1.0
2.041,-0.074,-1.0
0.728,0.965,-1.0
0.954,0.504,-1.0
