x1,x2,y
2.699,2.63,1.0
2.445,2.346,1.0
2.759,2.229,1.0
3.109,2.745,1.0
2.406,2.912,1.0
2.406,2.873,1.0
3.132,2.164,1.0
2.807,2.376,1.0
2.312,2.633,1.0
2.717,2.89,1.0
2.315,2.308,1.0
2.314,2.426,1.0
2.597,2.057,1.0
1.735,2.022,1.0
1.81,2.825,1.0
2.275,3.042,1.0
2.095,2.471,1.0
2.626,2.901,1.0
2.137,2.645,1.0
1.935,2.242,1.0
3.086,2.645,1.0
2.41,3.115,1.0
2.527,2.486,1.0
1.93,3.126,1.0
2.282,1.452,1.0
2.544,2.829,1.0
2.04,2.535,1.0
2.65,2.38,1.0
2.26,2.537,1.0
2.383,1.705,1.0
2.259,2.412,1.0
3.241,2.643,1.0
2.495,3.091,1.0
2.077,2.293,1.0
2.829,2.177,1.0
2.012,2.299,1.0
2.584,2.866,1.0
1.716,2.632,1.0
1.969,2.288,1.0
2.579,2.705,1.0
2.795,2.539,1.0
2.569,2.887,1.0
2.454,2.219,1.0
2.38,2.369,1.0
1.909,2.343,1.0
2.212,1.915,1.0
2.316,2.618,1.0
2.923,2.604,1.0
2.637,2.502,1.0
1.795,2.406,1.0
-0.066,0.6,-1.0
0.332,0.639,-1.0
0.363,0.228,-1.0
0.179,0.593,-1.0
0.435,0.617,-1.0
0.662,0.214,-1.0
1.254,1.246,-1.0
0.57,0.69,-1.0
0.603,0.023,-1.0
0.47,0.763,-1.0
-0.268,0.11,-1.0
0.489,0.815,-1.0
0.524,0.963,-1.0
1.485,0.172,-1.0
0.423,0.885,-1.0
0.621,0.665,-1.0
0.486,0.829,-1.0
0.033,1.259,-1.0
0.957,0.402,-1.0
0.801,0.199,-1.0
0.816,0.144,-1.0
0.136,0.174,-1.0
1.061,0.469,-1.0
-0.061,0.636,-1.0
0.735,0.611,-1.0
1.376,0.831,-1.0
0.104,0.505,-1.0
0.273,1.081,-1.0
0.54,0.394,-1.0
0.299,1.588,-1.0
-0.12,0.75,-1.0
0.527,0.157,-1.0
0.075,0.072,-1.0
0.689,0.693,-1.0
0.132,0.411,-1.0
1.12,0.786,-1.0
0.187,0.689,-1.0
0.371,0.471,-1.0
0.825,0.161,-1.0
0.008,-0.106,-1.0
0.591,0.321,-1.0
1.023,0.843,-1.0
-0.143,0.586,-1.0
0.574,0.002,-1.0
0.604,0.569,-1.0
0.813,0.654,-1.0
0.005,0.146,-1.0
-0.028,0.561,-1.0
0.709,0.523,-1.0
0.619,0.043,-1.0
