x1,x2,y
0.572,0.711,1.0
0.612,0.224,1.0
0.717,0.312,1.0
2.762,2.306,1.0
1.883,2.515,1.0
1.883,2.466,1.0
2.79,1.58,1.0
2.384,1.845,1.0
1.765,2.166,1.0
2.271,2.488,1.0
1.768,1.76,1.0
1.767,1.907,1.0
2.121,1.447,1.0
1.043,1.402,1.0
1.138,2.406,1.0
1.719,2.678,1.0
1.494,1.964,1.0
2.157,2.502,1.0
1.546,2.181,1.0
1.294,1.677,1.0
2.733,2.181,1.0
1.887,2.769,1.0
2.034,1.982,1.0
1.288,2.782,1.0
1.728,0.69,1.0
2.055,2.411,1.0
1.425,2.044,1.0
2.188,1.85,1.0
1.7,2.046,1.0
1.854,1.006,1.0
1.699,1.89,1.0
2.926,2.179,1.0
1.993,2.739,1.0
1.471,1.741,1.0
2.411,1.596,1.0
1.39,1.749,1.0
2.104,2.458,1.0
1.02,2.164,1.0
1.336,1.735,1.0
2.098,2.257,1.0
2.369,2.049,1.0
2.086,2.484,1.0
1.942,1.649,1.0
1.849,1.836,1.0
1.261,1.804,1.0
1.64,1.268,1.0
1.77,2.148,1.0
2.529,2.131,1.0
2.172,2.003,1.0
1.118,1.883,1.0
2.603,3.271,-1.0
2.603,2.614,-1.0
2.603,2.727,-1.0
-0.401,0.116,-1.0
-0.081,0.147,-1.0
0.202,-0.357,-1.0
0.943,0.933,-1.0
0.087,0.237,-1.0
0.129,-0.596,-1.0
-0.037,0.328,-1.0
-0.959,-0.487,-1.0
-0.013,0.394,-1.0
0.03,0.579,-1.0
1.232,-0.41,-1.0
-0.096,0.482,-1.0
0.151,0.206,-1.0
-0.017,0.411,-1.0
-0.584,0.948,-1.0
0.571,-0.123,-1.0
0.376,-0.377,-1.0
0.396,-0.445,-1.0
-0.455,-0.408,-1.0
0.701,-0.039,-1.0
-0.701,0.171,-1.0
0.293,0.138,-1.0
1.095,0.414,-1.0
-0.495,0.007,-1.0
-0.283,0.727,-1.0
0.05,-0.132,-1.0
-0.252,1.36,-1.0
-0.775,0.313,-1.0
0.034,-0.429,-1.0
-0.531,-0.535,-1.0
0.237,0.241,-1.0
-0.46,-0.112,-1.0
0.775,0.357,-1.0
-0.392,0.237,-1.0
-0.161,-0.036,-1.0
0.407,-0.423,-1.0
-0.615,-0.757,-1.0
0.114,-0.223,-1.0
0.654,0.428,-1.0
-0.804,0.107,-1.0
0.092,-0.623,-1.0
0.13,0.087,-1.0
0.391,0.193,-1.0
-0.618,-0.442,-1.0
-0.66,0.077,-1.0
0.261,0.029,-1.0
0.148,-0.571,-1.0
